Name,Booth,Category,Website,Address
asphericon GmbH,210,Design / Engineering Services | Components – Mechanical / Other | Optics,http://www.asphericon.com,"Stockholmer Str. 9, Jena, Germany, 07747."
ASPINA GmbH,W34,Components – Electronic / Electrical | Components – Mechanical / Other | Manufacturing,http://www.eu.aspina-group.com,"Koelner Strasse 12, Eschborn, Hesse, Germany, 65760."
AST Advanced Space Technologies GmbH,M02,Components – Electronic / Electrical | Manufacturing | Subsystem / Systems Supplier,https://ast-space.com,"Marie-Curie Straße 16-18, Osterholz-Scharmbeck, Lower Saxony, Germany, 27711."
Astos Solutions,L50,Engineering Consultancy | Design / Engineering Services | Software Supplier / Developer,http://www.astos.de,"Meitnerstraße 8, Stuttgart, Germany, 70563."
ASTRA e.V.,812,Design / Engineering Services | Research | Academia,http://www.astra-bremen.de,"Hohentorsheerstraße 76, Bremen, Bremen, Germany, 28199."
Astro- und Feinwerktechnik Adlershof GmbH,D35,Manufacturing | Subsystem / Systems Supplier | Test & Measurement,http://www.astrofein.com,"Albert-Einstein-Str. 12, Berlin, Germany, 12489."
Astrolight,A32,Communications & Ground Systems,http://www.astrolightspace.com,"Savanorių 235, Vilnius, Lithuania, LT-02300."
Astronika sp. z.o.o.,N30,Engineering Consultancy | Design / Engineering Services | Subsystem / Systems Supplier,http://www.astronika.pl,"ul. Bartycka 18, Warszawa, Poland, Poland, 00-716."
Astroscale,E14,Satellite Operations / Development | Communications & Ground Systems,http://www.astroscale.com,"Unit 3-5 Zeus Building, Harwell, Oxfordshire, United Kingdom, OX11 0DF."
Asynchronics,Y08,Software Supplier / Developer | Subsystem / Systems Supplier,https://asynchronics.com,"Zabkowska 31, Warsaw, Poland, 03-736."
ATG Europe,H37,Engineering Consultancy | Design / Engineering Services | Components – Mechanical / Other,http://www.atg-europe.com,"Noordwijk Space Campus, Huygens Straat 34, Noordwijk, Netherlands, 2201 dk."
Atik Cameras,114,Design / Engineering Services | Manufacturing | Optics,http://www.atik-cameras.com,"R. Horta de Bacelos, 15, Santa Iria da Azoia, Lisbon, Portugal, 2690-390."
ATMOS Space Cargo GmbH,130,Launch Services | Manufacturing | Satellite Operations / Development,https://atmos-space-cargo.com/,"Im Gewerbegebiet 3, Lichtenau, Germany, D-77839."
Augusta Abogados,S26,Engineering Consultancy,https://augustaabogados.com/en/,"Vía Augusta, 252, 4.ª, Barcelona, ESP, Spain, 08017."
Aurora Avionics,615,Design / Engineering Services | Subsystem / Systems Supplier,http://aav.space,"The Royal Observatory, Edinburgh, United Kingdom, EH9 3HJ."
Aurora Propulsion Technologies,802,Components – Mechanical / Other | Satellite Operations / Development | Subsystem / Systems Supplier,http://www.aurorapt.fi,"Otakaari 5, ESPOO, Finland, 02150."
Avalanche,L47,Components – Electronic / Electrical | Electronics Manufacturing | Security / Government,http://www.avalanche-technology.com,"3450 W Warren Ave, Fremont, CA, United States, 94538."
Avantier Inc.,108,Design / Engineering Services | Manufacturing | Optics,https://avantierinc.com/,"1100 US-22, North Plainfield, NJ, United States, 07060."
AVIOTEC SRL,Z25,Components – Electronic / Electrical | Manufacturing | Subsystem / Systems Supplier,http://www.aviotec.it,"VIA STRESA 5, PIANEZZA-TURIN, Italy, 10044."
Avnet Abacus,V21,Engineering Consultancy | Components – Electronic / Electrical | Components – Mechanical / Other,http://www.avnet-abacus.eu,"Im Technologiepark 2-6, Poing, Germany, 85586."
Avnet Silica,V21,Engineering Consultancy | Design / Engineering Services | Components – Electronic / Electrical,http://avnet-silica.com/aerospace,"Im Technologiepark 2-8, Poing, Germany, 85586."
AWEX,M35,Media / Association,http://www.skywin.be,"Place Sainctelette no 2, Brussels, Belgium, 1080."
AWEX - Wallonia,T15,Optics | Satellite Operations / Development | Subsystem / Systems Supplier,http://www.awex.be,"Place Sainctelette 2, Brussels, Belgium, 1080."
Axient Systems B.V.,320,Prime Contractor | Design / Engineering Services | Satellite Operations / Development,http://www.axientsystems.nl,"Olof Palmestraat 10, Delft, Netherlands, 2616 LR."
AXON' Kabel GmbH,J11,Design / Engineering Services | Components – Electronic / Electrical | Interconnect / Cable & Wire,http://www.axon-cable.com,"Hertichstrasse 43, Leonberg, Germany, 71229."
Axtal GmbH,L47,Design / Engineering Services | Components – Electronic / Electrical,http://www.axtal.com,"Roemerring 9, Mosbach, BW, Germany, D-74821."
Azimut Space GmbH,G20,Design / Engineering Services | Components – Mechanical / Other | Test & Measurement,http://www.azimutspace.com,"Carl-Scheele-Str. 14, Berlin, Berlin, Germany, 12489."
B2Space,A19,Launch Services | Subsystem / Systems Supplier | Security / Government,https://b2-space.com/,"Maesglas Industrial Estate, 19a Greenwich Rd, Newport, United Kingdom, NP20 2NN."
Baader Planetarium GmbH,F42,Facilities Engineering | Manufacturing | Optics,http://www.baader-planetarium.com,"Zur Sternwarte 4, Mammendorf, Germany, D-82291."
Baader Planetarium GmbH,G43,Facilities Engineering | Manufacturing | Optics,http://www.baader-planetarium.com,"Zur Sternwarte 4, Mammendorf, Bavaria, Germany, D-82291."
Bartington Instruments,D33,Design / Engineering Services,http://www.bartington.com/,"Unit 5, Thorney Leys Park, Witney, Oxfordshire, United Kingdom, OX28 4GE."
bavAIRia e.V.,J53,Media / Association,http://www.bavairia.net,"Friedrichshafener Str. 1, Gilching, Bavaria, Germany, 82205."
bavAIRia e.V.,H47,Media / Association,http://www.bavairia.net,"Friedrichshafener Str. 1, Gilching, Bavaria, Germany, 82205."
BCT GROUP Bougatsos Cleanroom Technology,R40,Engineering Consultancy | Design / Engineering Services | Facilities Engineering,https://www.bct-group.gr/,"CORINTHOU 32, ATHENS, Greece, 14451."
BEARS e.V.,817,Research | Academia,http://www.bears-space.de,"TU Berlin - Institut für Luft- und Raumfahrt, Marchstraße 12-14, Berlin, Berlin, Germany, 10587."
Bellatrix Aerospace,ZZZ06,Manufacturing | Satellite Operations / Development | Subsystem / Systems Supplier,http://www.bellatrix.aero,"5th Floor, V K Kalyani Commercial Complex Sankey Rd opposite to BDA Head Office, Bengaluru, Karnataka, India, 560020."
Bender,810,Components – Electronic / Electrical | Electronics Manufacturing | Subsystem / Systems Supplier,http://www.bender.de,"Londorfer Str. 65, Grünberg, DE, Germany, 35305."
Bercella,U17,Design / Engineering Services,https://bercella.it/,"Via Enzo Ferrari 10, Varano de’ Melegari, Italy, 43040."
Berlin Partner for Business and Technology,V53,Security / Government,http://www.berlin-partner.de,"Fasanenstr. 85, Berlin, Germany, 10623."
BERLIN SPACE Consortium GmbH,V58,Design / Engineering Services | Subsystem / Systems Supplier | Test & Measurement,http://www.berlinspace.eu,"Helmholtzstr. 2-9, Berlin, Berlin, Germany, 10587."
Berlin Space Technologies GmbH,C46,Manufacturing | Satellite Operations / Development | Subsystem / Systems Supplier,http://www.berlin-space-tech.com,"Max-Planck-Str. 3, Berlin, Berlin, Germany, D-12489."
Bertin Technologies,L42,Components – Mechanical / Other | Optics | Subsystem / Systems Supplier,http://www.bertin-technologies.com,"Parc d’activités du Pas du Lac10 bis, avenue Ampère, Montigny-le-Bretonneux, France, 78180."
Best of Space,P25,Prime Contractor | Design / Engineering Services | Subsystem / Systems Supplier,http://www.best-of-space.de,"c/o CRN Management GmbH Fritz-Schäffer-Straße 1, Bonn, NRW, Germany, 53113."
Better Futures AI,D44,Software Supplier / Developer,http://www.betterfutures.ai,"NovaUCD, University College Dublin, Innovation Park, Dublin, Dublin, Ireland, D04 V2P1."
